reférence,nom de l’article,partie du vêtement,matière,pourcentage de la matière
400002,corps perkins serge,extérieur,polyester,96%
400002,corps perkins serge,extérieur,élasthanne,4%
400005,t-shirt à capuche,extérieur,coton,49%
400005,t-shirt à capuche,extérieur,modal,48%
400005,t-shirt à capuche,extérieur,élasthanne,3%
400005,t-shirt à capuche,doublure,coton,100%
400006,top côtelé à col montant,extérieur,coton,95%
400006,top côtelé à col montant,extérieur,élasthanne,5%
400007,top côtelé à col montant,extérieur,coton,95%
400007,top côtelé à col montant,extérieur,élasthanne,5%
400008,top côtelé à col montant,extérieur,coton,95%
400008,top côtelé à col montant,extérieur,élasthanne,5%
400009,veste côtelée à bouton,extérieur,coton,88%
400009,veste côtelée à bouton,extérieur,élasthanne,7%
400009,veste côtelée à bouton,extérieur, viscose,5%
400010,veste côtelée à bouton,extérieur,coton,88%
400010,veste côtelée à bouton,extérieur,élasthanne,7%
400010,veste côtelée à bouton,extérieur, viscose,5%
400011,veste côtelée à bouton,extérieur,coton,88%
400011,veste côtelée à bouton,extérieur,élasthanne,7%
400011,veste côtelée à bouton,extérieur, viscose,5%
400012,t-shirt de qualité supérieure,extérieur,coton,100%
400013,t-shirt de qualité supérieure,extérieur,coton,100%
400014,t-shirt de qualité supérieure,extérieur,coton,100%
400015,t-shirt de qualité supérieure,extérieur,coton,100%
400016,t-shirt de qualité supérieure,extérieur,coton,100%
400017,top à capuche collection contour limitless,extérieur,nylon,95%
400017,top à capuche collection contour limitless,extérieur,élasthanne,5%
400018, collection contour sans  limite,extérieur,nylon,95%
400018, collection contour sans  limite,extérieur,élasthanne,5%
400019,chemise côtelée,extérieur,coton,95%
400019,chemise côtelée,extérieur,élasthanne,5%
400020,chemise côtelée,extérieur,coton,95%
400020,chemise côtelée,extérieur,élasthanne,5%
400021,chemise côtelée,extérieur,coton,95%
400021,chemise côtelée,extérieur,élasthanne,5%
400022,chemise côtelée,extérieur,coton,95%
400022,chemise côtelée,extérieur,élasthanne,5%
400023,chemise côtelée,extérieur,coton,95%
400023,chemise côtelée,extérieur,élasthanne,5%
400024,body côtelé,extérieur, viscose,49%
400024,body côtelé,extérieur,polyester,28%
400024,body côtelé,extérieur,polyamide,23%
400025,body côtelé,extérieur, viscose,97%
400025,body côtelé,extérieur,élasthanne,3%
400026,body épaulettes,extérieur,coton,92%
400026,body épaulettes,extérieur,élasthanne,8%
400027,body dos-nu,extérieur,coton,92%
400027,body dos-nu,extérieur,élasthanne,8%
400028,body décolleté en cœur,extérieur,coton,42%
400028,body décolleté en cœur,extérieur,modal,39%
400028,body décolleté en cœur,extérieur,polyester,16%
400028,body décolleté en cœur,extérieur,élasthanne,3%
400029,body côtelé à boutons,extérieur, viscose,55%
400029,body côtelé à boutons,extérieur,polyamide,25%
400029,body côtelé à boutons,extérieur,polyester,20%
400030,body en dentelle,extérieur,polyamide,92%
400030,body en dentelle,extérieur,élasthanne,8%
400031,body en dentelle,extérieur,polyamide,92%
400031,body en dentelle,extérieur,élasthanne,8%
400032,body en dentelle,extérieur,polyamide,92%
400032,body en dentelle,extérieur,élasthanne,8%
400033,body côtelé à boutons,extérieur, viscose,55%
400033,body côtelé à boutons,extérieur,polyamide,25%
400033,body côtelé à boutons,extérieur,polyester,20%
400034,body côtelé à boutons,extérieur, viscose,55%
400034,body côtelé à boutons,extérieur,polyamide,25%
400034,body côtelé à boutons,extérieur,polyester,20%
400035,chemise à pression,extérieur,coton,96%
400035,chemise à pression,extérieur,élasthanne,4%
400036,chemise à pression,extérieur,coton,96%
400036,chemise à pression,extérieur,élasthanne,4%
400037,chemise à pression,extérieur,coton,96%
400037,chemise à pression,extérieur,élasthanne,4%
400038,chemise à pression,extérieur,coton,96%
400038,chemise à pression,extérieur,élasthanne,4%
400039,chemise à pression,extérieur,coton,96%
400039,chemise à pression,extérieur,élasthanne,4%
400040,chemise côtelée volants,extérieur,coton,95%
400040,chemise côtelée volants,extérieur,élasthanne,5%
400041,chemise côtelée volants,extérieur,coton,95%
400041,chemise côtelée volants,extérieur,élasthanne,5%
400042,chemise côtelée volants,extérieur,coton,95%
400042,chemise côtelée volants,extérieur,élasthanne,5%
400043,veste courte,extérieur, viscose,49%
400043,veste courte,extérieur,polyester,29%
400043,veste courte,extérieur,polyamide,22%
400044,veste courte,extérieur, viscose,49%
400044,veste courte,extérieur,polyester,29%
400044,veste courte,extérieur,polyamide,22%
400045,corp côtelée soft touch,extérieur, viscose,74%
400045,corp côtelée soft touch,extérieur,polyester,22%
400045,corp côtelée soft touch,extérieur,élasthanne,4%
400046,corp côtelée soft touch,extérieur, viscose,74%
400046,corp côtelée soft touch,extérieur,polyester,22%
400046,corp côtelée soft touch,extérieur,élasthanne,4%
400047,corp côtelée soft touch,extérieur, viscose,74%
400047,corp côtelée soft touch,extérieur,polyester,22%
400047,corp côtelée soft touch,extérieur,élasthanne,4%
400048,coco capitan collaboration t-shirt unisexe,extérieur,coton,100%
400049,coco capitan collaboration t-shirt unisexe,extérieur,coton,100%
400050,coco capitan collaboration t-shirt unisexe,extérieur,coton,100%
400051,coco capitan collaboration t-shirt unisexe,extérieur,coton,100%
400052,coco capitan collaboration t-shirt unisexe,extérieur,coton,100%
400053,corps court,extérieur, viscose,49%
400053,corps court,extérieur,polyester,46%
400053,corps court,extérieur,élasthanne,5%
400054,corps court,extérieur, viscose,49%
400054,corps court,extérieur,polyester,46%
400054,corps court,extérieur,élasthanne,5%
400055,corps court,extérieur, viscose,49%
400055,corps court,extérieur,polyester,46%
400055,corps court,extérieur,élasthanne,5%
400056,chemise rayée,extérieur,coton,100%
400057,body côtelé,extérieur,coton,95%
400057,body côtelé,extérieur,élasthanne,5%
400058,body côtelé,extérieur,coton,95%
400058,body côtelé,extérieur,élasthanne,5%
400059,body côtelé,extérieur,coton,95%
400059,body côtelé,extérieur,élasthanne,5%
500000,pantalon taille haute avec ceinture,extérieur,polyester,76%
500000,pantalon taille haute avec ceinture,extérieur, viscose,17%
500000,pantalon taille haute avec ceinture,extérieur,élasthanne,7%
500001,pantalon culotte,extérieur,polyester,100%
500003,pantalon large plein longueur,extérieur,polyester,64%
500003,pantalon large plein longueur,extérieur, viscose,31%
500003,pantalon large plein longueur,extérieur,élasthanne,5%
500004,jogging en maille,extérieur, viscose,46%
500004,jogging en maille,extérieur,nylon,28%
500004,jogging en maille,extérieur,polyester,26%
500005,jogging en maille,extérieur, viscose,46%
500005,jogging en maille,extérieur,nylon,28%
500005,jogging en maille,extérieur,polyester,26%
500006,pantalon large plein longueur,extérieur,polyester,64%
500006,pantalon large plein longueur,extérieur, viscose,31%
500006,pantalon large plein longueur,extérieur,élasthanne,5%
500007,pantalon effet cuir,doublure,polyester,100%
500010,jogging en maille,extérieur, viscose,46%
500010,jogging en maille,extérieur,nylon,28%
500010,jogging en maille,extérieur,polyester,26%
500011,pantalon de course,extérieur,lyocell,55%
500011,pantalon de course,extérieur,coton,42%
500011,pantalon de course,extérieur,élasthanne,3%
500011,pantalon de course,doublure,coton,100%
500012,pantalon culotte avec ceinture,extérieur,polyester,74%
500012,pantalon culotte avec ceinture,extérieur, viscose,20%
500012,pantalon culotte avec ceinture,extérieur,élasthanne,6%
500013,leggings de vie super élastique,extérieur,nylon,77%
500013,leggings de vie super élastique,extérieur,élasthanne,23%
500013,leggings de vie super élastique,doublure,nylon,77%
500013,leggings de vie super élastique,doublure,élasthanne,23%
500014,pantalon de course,extérieur,lyocell,55%
500014,pantalon de course,extérieur,coton,42%
500014,pantalon de course,extérieur,élasthanne,3%
500015,pantalon de jogger ample,extérieur,lyocell,65%
500015,pantalon de jogger ample,extérieur,coton,24%
500015,pantalon de jogger ample,extérieur,lin,11%
500016,pantalon taille haute,extérieur,polyester,100%
500021,pantalon coupe chino double tissu,extérieur,coton,51%
500021,pantalon coupe chino double tissu,extérieur,polyester,46%
500021,pantalon coupe chino double tissu,extérieur,élasthanne,3%
500022,pantalon de course,extérieur,lyocell,100%
500022,pantalon de course,doublure,coton,100%
500023,pantalon de course,extérieur,polyester,100%
500024,pantalon culotte avec ceinture,extérieur,polyester,62%
500024,pantalon culotte avec ceinture,extérieur, viscose,36%
500024,pantalon culotte avec ceinture,extérieur,élasthanne,2%
500025,pantalon de costume texturé,extérieur,polyester,67%
500025,pantalon de costume texturé,extérieur, viscose,29%
500025,pantalon de costume texturé,extérieur,élasthanne,4%
500026,pantalon de costume à carreaux,extérieur,polyester,67%
500026,pantalon de costume à carreaux,extérieur, viscose,31%
500026,pantalon de costume à carreaux,extérieur,élasthanne,2%
500027,pantalon avec ceinture en raphia,extérieur,polyester,100%
500028,pantalon de jogging zw,extérieur,lyocell,55%
500028,pantalon de jogging zw,extérieur,coton,42%
500028,pantalon de jogging zw,extérieur,élasthanne,3%
500028,pantalon de jogging zw,doublure,coton,100%
500029,pantalon taille haute avec ceinture,extérieur,polyester,76%
500029,pantalon taille haute avec ceinture,extérieur, viscose,17%
500029,pantalon taille haute avec ceinture,extérieur,élasthanne,7%
500030,pantalon taille haute avec ceinture,extérieur,polyester,76%
500030,pantalon taille haute avec ceinture,extérieur, viscose,17%
500030,pantalon taille haute avec ceinture,extérieur,élasthanne,7%
500031,pantalon taille haute avec ceinture,extérieur,polyester,76%
500031,pantalon taille haute avec ceinture,extérieur, viscose,17%
500031,pantalon taille haute avec ceinture,extérieur,élasthanne,7%
500032,pantalon skinny à carreaux,extérieur, viscose,75%
500032,pantalon skinny à carreaux,extérieur,polyester,22%
500032,pantalon skinny à carreaux,extérieur,élasthanne,3%
500033,pantalon moulants,extérieur,coton,35%
500033,pantalon moulants,extérieur,polyester,31%
500033,pantalon moulants,extérieur, viscose,17%
500033,pantalon moulants,extérieur,lin,15%
500033,pantalon moulants,extérieur,élasthanne,2%
500034,pantalon avec ceinture en raphia,extérieur,polyester,100%
500035,pantalon imprimé,extérieur, viscose,100%
500036,pantalon de jardin,extérieur,coton,97%
500036,pantalon de jardin,extérieur,élasthanne,3%
500037,pantalon large à plis,extérieur,polyester,67%
500037,pantalon large à plis,extérieur, viscose,29%
500037,pantalon large à plis,extérieur,élasthanne,4%
