reference,nom_article,partie_vetement,produits_coloration,matieres,etape,pourcentage_matieres
200045,blouse jacquard volants,extérieur,colorants azoïques,élasthanne,Preparation de fil,5
200046,chemise en popeline,extérieur,colorants au chrome,coton,Préparation de tissu,100
200047,blouse effet métallique ,extérieur,colorants dispersés,polyester,Teinture et finition,53
200047,blouse effet métallique ,extérieur,colorants dispersés,polyester,Elimination,47
200047,blouse effet métallique ,extérieur,colorants dispersés,fibre métallique,Teinture et finition,53
200047,blouse effet métallique ,extérieur,colorants dispersés,fibre métallique,Elimination,47
200047,blouse effet métallique ,extérieur,colorants metallifères,polyester,Teinture et finition,53
200047,blouse effet métallique ,extérieur,colorants metallifères,polyester,Elimination,47
200047,blouse effet métallique ,extérieur,colorants metallifères,fibre métallique,Teinture et finition,53
200047,blouse effet métallique ,extérieur,colorants metallifères,fibre métallique,Elimination,47
200048,blouse nœud,extérieur,colorants dispersés,polyester,Teinture et finition,100
200049,chemisier structuré,extérieur,colorants acides, viscose, Production de fibres,77
200049,chemisier structuré,extérieur,colorants acides, viscose,Elimination,19
200049,chemisier structuré,extérieur,colorants acides, viscose,Assemblée,4
200049,chemisier structuré,extérieur,colorants acides,laine, Production de fibres,77
200049,chemisier structuré,extérieur,colorants acides,laine,Elimination,19
200049,chemisier structuré,extérieur,colorants acides,laine,Assemblée,4
200049,chemisier structuré,extérieur,colorants acides,polyamide, Production de fibres,77
200049,chemisier structuré,extérieur,colorants acides,polyamide,Elimination,19
200049,chemisier structuré,extérieur,colorants acides,polyamide,Assemblée,4
200049,chemisier structuré,extérieur,colorants réactifs, viscose, Production de fibres,77
200049,chemisier structuré,extérieur,colorants réactifs, viscose,Elimination,19
200049,chemisier structuré,extérieur,colorants réactifs, viscose,Assemblée,4
200049,chemisier structuré,extérieur,colorants réactifs,laine, Production de fibres,77
200049,chemisier structuré,extérieur,colorants réactifs,laine,Elimination,19
200049,chemisier structuré,extérieur,colorants réactifs,laine,Assemblée,4
200049,chemisier structuré,extérieur,colorants réactifs,polyamide, Production de fibres,77
200049,chemisier structuré,extérieur,colorants réactifs,polyamide,Elimination,19
200049,chemisier structuré,extérieur,colorants réactifs,polyamide,Assemblée,4
200049,chemisier structuré,extérieur,colorants acides, viscose, Production de fibres,77
200049,chemisier structuré,extérieur,colorants acides, viscose,Elimination,19
200049,chemisier structuré,extérieur,colorants acides, viscose,Assemblée,4
200049,chemisier structuré,extérieur,colorants acides,laine, Production de fibres,77
200049,chemisier structuré,extérieur,colorants acides,laine,Elimination,19
200049,chemisier structuré,extérieur,colorants acides,laine,Assemblée,4
200049,chemisier structuré,extérieur,colorants acides,polyamide, Production de fibres,77
200049,chemisier structuré,extérieur,colorants acides,polyamide,Elimination,19
200049,chemisier structuré,extérieur,colorants acides,polyamide,Assemblée,4
200050,blouse plissées à nœud,extérieur,colorants dispersés,polyester,Teinture et finition,100
200051,blouse courte imprimé,extérieur,colorants dispersés,polyester,Teinture et finition,100
200052,blouse fluide avec poches,extérieur,colorants réactifs,lyocell,Assemblée,97
200052,blouse fluide avec poches,extérieur,colorants réactifs,lyocell,Teinture et finition,3
200052,blouse fluide avec poches,extérieur,colorants réactifs,polyester,Assemblée,97
200052,blouse fluide avec poches,extérieur,colorants réactifs,polyester,Teinture et finition,3
200052,blouse fluide avec poches,extérieur,colorants dispersés,lyocell,Assemblée,97
200052,blouse fluide avec poches,extérieur,colorants dispersés,lyocell,Teinture et finition,3
200052,blouse fluide avec poches,extérieur,colorants dispersés,polyester,Assemblée,97
200052,blouse fluide avec poches,extérieur,colorants dispersés,polyester,Teinture et finition,3
200053,chemise en popeline,extérieur,colorants au chrome,coton,Préparation de tissu,100
200055,blouse en satin aves épaules,extérieur,colorants acides, viscose, Production de fibres,100
200056,body en satin croisé,extérieur,colorants dispersés,polyester,Teinture et finition,100
200057,blouse jacquard,extérieur,colorants acides, viscose, Production de fibres,100
200058,blouse courte imprimé,extérieur,colorants dispersés,polyester,Teinture et finition,100
200059,blouse courte imprimé,extérieur,colorants dispersés,polyester,Teinture et finition,100
100000,robe imprimée,extérieur,colorants acides, viscose, Production de fibres,100
100001,robe en dentelle combinée,extérieur,colorants réactifs,lyocell,Assemblée,97
100001,robe en dentelle combinée,extérieur,colorants réactifs,lyocell,Teinture et finition,3
100001,robe en dentelle combinée,extérieur,colorants réactifs,polyester,Assemblée,97
100001,robe en dentelle combinée,extérieur,colorants réactifs,polyester,Teinture et finition,3
100001,robe en dentelle combinée,extérieur,colorants dispersés,lyocell,Assemblée,97
100001,robe en dentelle combinée,extérieur,colorants dispersés,lyocell,Teinture et finition,3
100001,robe en dentelle combinée,extérieur,colorants dispersés,polyester,Assemblée,97
100001,robe en dentelle combinée,extérieur,colorants dispersés,polyester,Teinture et finition,3
100002,robe longue imprimée,extérieur,colorants dispersés,polyester,Teinture et finition,100
100002,robe longue imprimée,extérieur,colorants dispersés,polyester,Teinture et finition,100
100002,robe longue imprimée,extérieur,colorants dispersés,polyester,Teinture et finition,100
100002,robe longue imprimée,extérieur,colorants dispersés,polyester,Teinture et finition,100
100002,robe longue imprimée,doublure,colorants dispersés,polyester,Teinture et finition,100
100002,robe longue imprimée,doublure,colorants dispersés,polyester,Teinture et finition,100
100002,robe longue imprimée,doublure,colorants dispersés,polyester,Teinture et finition,100
100002,robe longue imprimée,doublure,colorants dispersés,polyester,Teinture et finition,100
100003,robe midi imprimée,extérieur,colorants acides, viscose, Production de fibres,100
100004,robe midi dentelle,extérieur,colorants acides, viscose, Production de fibres,100
100006,robe midi avec ceinture,extérieur,colorants dispersés,polyester,Teinture et finition,100
100007,robe imprimée alamares,extérieur,colorants dispersés,polyester,Teinture et finition,100
100008,robe en maille,extérieur,colorants acides,acrylique,Distribution,58
100008,robe en maille,extérieur,colorants acides,acrylique,Teinture et finition,30
100008,robe en maille,extérieur,colorants acides,acrylique,Distribution,12
100008,robe en maille,extérieur,colorants acides,polyester,Distribution,58
100008,robe en maille,extérieur,colorants acides,polyester,Teinture et finition,30
100008,robe en maille,extérieur,colorants acides,polyester,Distribution,12
100008,robe en maille,extérieur,colorants acides,nylon,Distribution,58
100008,robe en maille,extérieur,colorants acides,nylon,Teinture et finition,30
100008,robe en maille,extérieur,colorants acides,nylon,Distribution,12
100008,robe en maille,extérieur,colorants dispersés,acrylique,Distribution,58
100008,robe en maille,extérieur,colorants dispersés,acrylique,Teinture et finition,30
100008,robe en maille,extérieur,colorants dispersés,acrylique,Distribution,12
100008,robe en maille,extérieur,colorants dispersés,polyester,Distribution,58
100008,robe en maille,extérieur,colorants dispersés,polyester,Teinture et finition,30
100008,robe en maille,extérieur,colorants dispersés,polyester,Distribution,12
100008,robe en maille,extérieur,colorants dispersés,nylon,Distribution,58
100008,robe en maille,extérieur,colorants dispersés,nylon,Teinture et finition,30
100008,robe en maille,extérieur,colorants dispersés,nylon,Distribution,12
100008,robe en maille,extérieur,colorants dispersés,acrylique,Distribution,58
100008,robe en maille,extérieur,colorants dispersés,acrylique,Teinture et finition,30
100008,robe en maille,extérieur,colorants dispersés,acrylique,Distribution,12
100008,robe en maille,extérieur,colorants dispersés,polyester,Distribution,58
100008,robe en maille,extérieur,colorants dispersés,polyester,Teinture et finition,30
100008,robe en maille,extérieur,colorants dispersés,polyester,Distribution,12
100008,robe en maille,extérieur,colorants dispersés,nylon,Distribution,58
100008,robe en maille,extérieur,colorants dispersés,nylon,Teinture et finition,30
100008,robe en maille,extérieur,colorants dispersés,nylon,Distribution,12
100009,robe imprimée fleuri,extérieur,colorants acides, viscose, Production de fibres,100
100011,robe midi satinée,extérieur,colorants acides, viscose, Production de fibres,100
100013,robe en maille perle,extérieur,colorants acides,acrylique,Distribution,59
100013,robe en maille perle,extérieur,colorants acides,acrylique,Teinture et finition,30
100013,robe en maille perle,extérieur,colorants acides,acrylique,Distribution,11
100013,robe en maille perle,extérieur,colorants acides,polyester,Distribution,59
100013,robe en maille perle,extérieur,colorants acides,polyester,Teinture et finition,30
100013,robe en maille perle,extérieur,colorants acides,polyester,Distribution,11
100013,robe en maille perle,extérieur,colorants acides,nylon,Distribution,59
100013,robe en maille perle,extérieur,colorants acides,nylon,Teinture et finition,30
100013,robe en maille perle,extérieur,colorants acides,nylon,Distribution,11
100013,robe en maille perle,extérieur,colorants dispersés,acrylique,Distribution,59
100013,robe en maille perle,extérieur,colorants dispersés,acrylique,Teinture et finition,30
100013,robe en maille perle,extérieur,colorants dispersés,acrylique,Distribution,11
100013,robe en maille perle,extérieur,colorants dispersés,polyester,Distribution,59
100013,robe en maille perle,extérieur,colorants dispersés,polyester,Teinture et finition,30
100013,robe en maille perle,extérieur,colorants dispersés,polyester,Distribution,11
100013,robe en maille perle,extérieur,colorants dispersés,nylon,Distribution,59
100013,robe en maille perle,extérieur,colorants dispersés,nylon,Teinture et finition,30
100013,robe en maille perle,extérieur,colorants dispersés,nylon,Distribution,11
100013,robe en maille perle,extérieur,colorants dispersés,acrylique,Distribution,59
100013,robe en maille perle,extérieur,colorants dispersés,acrylique,Teinture et finition,30
100013,robe en maille perle,extérieur,colorants dispersés,acrylique,Distribution,11
100013,robe en maille perle,extérieur,colorants dispersés,polyester,Distribution,59
100013,robe en maille perle,extérieur,colorants dispersés,polyester,Teinture et finition,30
100013,robe en maille perle,extérieur,colorants dispersés,polyester,Distribution,11
100013,robe en maille perle,extérieur,colorants dispersés,nylon,Distribution,59
100013,robe en maille perle,extérieur,colorants dispersés,nylon,Teinture et finition,30
100013,robe en maille perle,extérieur,colorants dispersés,nylon,Distribution,11
100014,robe taille satinée,extérieur,colorants dispersés,polyester,Teinture et finition,100
100015,robe imprimée laçée,extérieur,colorants acides, viscose, Production de fibres,100
100017,robe jacquard,extérieur,colorants acides, viscose, Production de fibres,100
100018,robe imprimée volume,extérieur,colorants dispersés,polyester,Teinture et finition,100
100018,robe imprimée volume,extérieur,colorants dispersés,polyester,Teinture et finition,100
100018,robe imprimée volume,extérieur,colorants dispersés,polyester,Teinture et finition,100
100018,robe imprimée volume,extérieur,colorants dispersés,polyester,Teinture et finition,100
100018,robe imprimée volume,doublure,colorants dispersés,polyester,Teinture et finition,100
100018,robe imprimée volume,doublure,colorants dispersés,polyester,Teinture et finition,100
100018,robe imprimée volume,doublure,colorants dispersés,polyester,Teinture et finition,100
100018,robe imprimée volume,doublure,colorants dispersés,polyester,Teinture et finition,100
100019,robe fluide avec épaulettes,extérieur,colorants dispersés,polyester,Teinture et finition,100
100019,robe fluide avec épaulettes,extérieur,colorants dispersés,polyester,Teinture et finition,100
100019,robe fluide avec épaulettes,extérieur,colorants dispersés,polyester,Teinture et finition,100
100019,robe fluide avec épaulettes,extérieur,colorants dispersés,polyester,Teinture et finition,100
100019,robe fluide avec épaulettes,doublure,colorants dispersés,polyester,Teinture et finition,100
100019,robe fluide avec épaulettes,doublure,colorants dispersés,polyester,Teinture et finition,100
100019,robe fluide avec épaulettes,doublure,colorants dispersés,polyester,Teinture et finition,100
100019,robe fluide avec épaulettes,doublure,colorants dispersés,polyester,Teinture et finition,100
100021,mini robe avec ouverture,extérieur,colorants dispersés,polyester,Teinture et finition,100
100022,robe volume,extérieur,colorants au chrome,coton,Préparation de tissu,100
100024,robe à épaulette,extérieur,colorants au chrome,coton,Préparation de tissu,100
100025,robe fluide,extérieur,colorants réactifs,lyocell,Assemblée,100
100026,robe drapée,extérieur,colorants dispersés,polyester,Teinture et finition,71
100026,robe drapée,extérieur,colorants dispersés,polyester, Production de fibres,23
100026,robe drapée,extérieur,colorants dispersés,polyester,Preparation de fil,6
100026,robe drapée,extérieur,colorants dispersés, viscose,Teinture et finition,71
100026,robe drapée,extérieur,colorants dispersés, viscose, Production de fibres,23
100026,robe drapée,extérieur,colorants dispersés, viscose,Preparation de fil,6
100026,robe drapée,extérieur,colorants dispersés,élasthanne,Teinture et finition,71
100026,robe drapée,extérieur,colorants dispersés,élasthanne, Production de fibres,23
100026,robe drapée,extérieur,colorants dispersés,élasthanne,Preparation de fil,6
100026,robe drapée,extérieur,colorants acides,polyester,Teinture et finition,71
100026,robe drapée,extérieur,colorants acides,polyester, Production de fibres,23
100026,robe drapée,extérieur,colorants acides,polyester,Preparation de fil,6
100026,robe drapée,extérieur,colorants acides, viscose,Teinture et finition,71
100026,robe drapée,extérieur,colorants acides, viscose, Production de fibres,23
100026,robe drapée,extérieur,colorants acides, viscose,Preparation de fil,6
100026,robe drapée,extérieur,colorants acides,élasthanne,Teinture et finition,71
100026,robe drapée,extérieur,colorants acides,élasthanne, Production de fibres,23
100026,robe drapée,extérieur,colorants acides,élasthanne,Preparation de fil,6
100026,robe drapée,extérieur,colorants azoïques,polyester,Teinture et finition,71
100026,robe drapée,extérieur,colorants azoïques,polyester, Production de fibres,23
100026,robe drapée,extérieur,colorants azoïques,polyester,Preparation de fil,6
100026,robe drapée,extérieur,colorants azoïques, viscose,Teinture et finition,71
100026,robe drapée,extérieur,colorants azoïques, viscose, Production de fibres,23
100026,robe drapée,extérieur,colorants azoïques, viscose,Preparation de fil,6
100026,robe drapée,extérieur,colorants azoïques,élasthanne,Teinture et finition,71
100026,robe drapée,extérieur,colorants azoïques,élasthanne, Production de fibres,23
100026,robe drapée,extérieur,colorants azoïques,élasthanne,Preparation de fil,6
100027,robe imprimée animal,extérieur,colorants acides, viscose, Production de fibres,100
100028,robe lingérie froncée,extérieur,colorants acides, viscose, Production de fibres,100
100029,robe mini imprimée,extérieur,colorants dispersés,polyester,Teinture et finition,100
100029,robe mini imprimée,extérieur,colorants dispersés,polyester, Production de fibres,100
100029,robe mini imprimée,extérieur,colorants dispersés, viscose,Teinture et finition,100
100029,robe mini imprimée,extérieur,colorants dispersés, viscose, Production de fibres,100
100029,robe mini imprimée,doublure,colorants acides,polyester,Teinture et finition,100
100029,robe mini imprimée,doublure,colorants acides,polyester, Production de fibres,100
100029,robe mini imprimée,doublure,colorants acides, viscose,Teinture et finition,100
100029,robe mini imprimée,doublure,colorants acides, viscose, Production de fibres,100
100030,Robe en fil métallique ,extérieur,colorants acides, viscose, Production de fibres,60
100030,Robe en fil métallique ,extérieur,colorants acides, viscose,Teinture et finition,37
100030,Robe en fil métallique ,extérieur,colorants acides, viscose,Elimination,3
