reférence,nom de l’article,partie du vêtement,produits de coloration,pourcentage de la matière
100051,vêtement ajusté,extérieur,colorants azoïques,3%
100052,robe imprimée,extérieur,colorants dispersés,100%
100053,robe côtelée,extérieur,colorants au chrome,96%
100053,robe côtelée,extérieur,colorants azoïques,4%
100054,chemise habillée imprimée,extérieur,colorants acides,100%
100055,robe en velours,extérieur,colorants dispersés,92%
100055,robe en velours,extérieur,colorants azoïques,8%
100056,robe à épaulette,extérieur,colorants au chrome,100%
100057,robe côtelée,extérieur,colorants au chrome,96%
100057,robe côtelée,extérieur,colorants azoïques,4%
300000,mini jupe à rayures diplmate,extérieur,colorants dispersés,63%
300000,mini jupe à rayures diplmate,extérieur,colorants acides,33%
300000,mini jupe à rayures diplmate,extérieur,colorants azoïques,4%
300001,mini jupe à rayures diplmate,extérieur,colorants dispersés,63%
300001,mini jupe à rayures diplmate,extérieur,colorants acides,33%
300001,mini jupe à rayures diplmate,extérieur,colorants azoïques,4%
300002,mini jupe à rayures diplmate,extérieur,colorants dispersés,63%
300002,mini jupe à rayures diplmate,extérieur,colorants acides,33%
300002,mini jupe à rayures diplmate,extérieur,colorants azoïques,4%
300003,pantalon mini-jupe ,extérieur,colorants dispersés,90%
300003,pantalon mini-jupe ,extérieur,colorants azoïques,10%
300004,mini jupe à volants,extérieur,colorants dispersés,100%
300004,mini jupe à volants,doublure,colorants dispersés,100%
300009,short en jersey doux au toucher,extérieur,colorants dispersés,33%
300009,short en jersey doux au toucher,extérieur,colorants acides,22%
300009,short en jersey doux au toucher,extérieur,colorants acides,21%
300009,short en jersey doux au toucher,extérieur,colorants réactifs,10%
300009,short en jersey doux au toucher,extérieur,colorants acides,10%
300009,short en jersey doux au toucher,extérieur,colorants azoïques,4%
300010,short peluche,extérieur,colorants au chrome,100%
300012,short à boutons,extérieur,colorants dispersés,64%
300012,short à boutons,extérieur,colorants acides,34%
300012,short à boutons,extérieur,colorants azoïques,2%
300012,short à boutons,doublure,colorants dispersés,100%
300013,bermuda structuré,extérieur,colorants au chrome,100%
300013,bermuda structuré,doublure,colorants dispersés,100%
300014,short à boutons,extérieur,colorants dispersés,64%
300014,short à boutons,extérieur,colorants acides,31%
300014,short à boutons,extérieur,colorants azoïques,5%
300014,short à boutons,doublure,colorants dispersés,100%
300015,jupe peluche,extérieur,colorants au chrome,70%
300015,jupe peluche,extérieur,colorants dispersés,30%
300016,jupe peluche,extérieur,colorants au chrome,70%
300016,jupe peluche,extérieur,colorants dispersés,30%
300017,jupe peluche,extérieur,colorants au chrome,70%
300017,jupe peluche,extérieur,colorants dispersés,30%
300021,shorts en carreaux,extérieur,colorants dispersés,66%
300021,shorts en carreaux,extérieur,colorants acides,32%
300021,shorts en carreaux,extérieur,colorants azoïques,2%
300022,shorts droit,extérieur,colorants dispersés,77%
300022,shorts droit,extérieur,colorants acides,18%
300022,shorts droit,extérieur,colorants azoïques,5%
300023,jupe imprimée à nœud,extérieur,colorants acides,100%
300024,jupe plissée imprimée,extérieur,colorants dispersés,100%
300025,jupe plissée imprimée,extérieur,colorants dispersés,100%
300026,bermuda structuré,extérieur,colorants au chrome,100%
300026,bermuda structuré,doublure,colorants dispersés,100%
300027,bermuda structuré,extérieur,colorants au chrome,100%
300027,bermuda structuré,doublure,colorants dispersés,100%
300028,bermuda carreaux,extérieur,colorants dispersés,63%
300028,bermuda carreaux,extérieur,colorants acides,34%
300028,bermuda carreaux,extérieur,colorants azoïques,3%
300029,jupe en velours,extérieur,colorants au chrome,100%
300030,jupe en jacquard,extérieur,colorants dispersés,78%
300030,jupe en jacquard,extérieur,colorants acides,22%
300032,shorts en satin,extérieur,colorants dispersés,98%
300032,shorts en satin,extérieur,colorants azoïques,2%
300032,shorts en satin,doublure,colorants dispersés,100%
300034,shorts en satin,extérieur,colorants dispersés,98%
300034,shorts en satin,extérieur,colorants azoïques,2%
300034,shorts en satin,doublure,colorants dispersés,100%
300035,jupe pantalon,extérieur,colorants dispersés,77%
300035,jupe pantalon,extérieur,colorants acides,18%
300035,jupe pantalon,extérieur,colorants azoïques,5%
300036,jupe bermuda imprimé,extérieur,colorants acides,100%
300037,jupe bermuda imprimé,extérieur,colorants acides,100%
300038,jupe bermuda imprimé,extérieur,colorants acides,100%
300039,jupe bermuda imprimé,extérieur,colorants acides,100%
300040,jupe bermuda imprimé,extérieur,colorants acides,100%
300045,mini jupe d'ouverture,extérieur,colorants dispersés,100%
300046,mini jupe drapée,extérieur,colorants dispersés,50%
300046,mini jupe drapée,extérieur,colorants acides,30%
300046,mini jupe drapée,extérieur,colorants réactifs,19%
300046,mini jupe drapée,extérieur,colorants azoïques,1%
300046,mini jupe drapée,doublure,colorants acides,100%
300047,mini jupe à volants,extérieur,colorants dispersés,100%
300047,mini jupe à volants,doublure,colorants dispersés,100%
300048,jupe en velours,extérieur,colorants acides,74%
300048,jupe en velours,extérieur,colorants acides,26%
300049,mini jupe en velours à franges,extérieur,colorants dispersés,100%
300050,jupe midi imprimée,extérieur,colorants réactifs,100%
300051,jupe aux toucher doux,extérieur,colorants dispersés,68%
300051,jupe aux toucher doux,extérieur,colorants au chrome,32%
300052,jupe imprimée,extérieur,colorants dispersés,100%
300052,jupe imprimée,doublure,colorants dispersés,100%
300053,jupe crayon avec coutures,extérieur,colorants dispersés,68%
300053,jupe crayon avec coutures,extérieur,colorants acides,28%
300053,jupe crayon avec coutures,extérieur,colorants azoïques,4%
300053,jupe crayon avec coutures,doublure,colorants dispersés,100%
300054,jupe plissée à carreaux,extérieur,colorants dispersés,76%
300054,jupe plissée à carreaux,extérieur,colorants acides,22%
300054,jupe plissée à carreaux,extérieur,colorants azoïques,2%
300057,mini jupe avec poche,extérieur,colorants au chrome,100%
300059,jupe mini combinée,extérieur,colorants acides,33%
300059,jupe mini combinée,extérieur,colorants au chrome,30%
300059,jupe mini combinée,extérieur,colorants dispersés,25%
300059,jupe mini combinée,extérieur,colorants acides,12%
400000,corps perkins serge,extérieur,colorants dispersés,96%
400000,corps perkins serge,extérieur,colorants azoïques,4%
400001,corps perkins serge,extérieur,colorants dispersés,96%
400001,corps perkins serge,extérieur,colorants azoïques,4%
400002,corps perkins serge,extérieur,colorants dispersés,96%
400002,corps perkins serge,extérieur,colorants azoïques,4%
400005,t-shirt à capuche,extérieur,colorants au chrome,49%
400005,t-shirt à capuche,extérieur,colorants dispersés,48%
400005,t-shirt à capuche,extérieur,colorants azoïques,3%
400005,t-shirt à capuche,doublure,colorants au chrome,100%
400006,top côtelé à col montant,extérieur,colorants au chrome,95%
400006,top côtelé à col montant,extérieur,colorants azoïques,5%
400007,top côtelé à col montant,extérieur,colorants au chrome,95%
400007,top côtelé à col montant,extérieur,colorants azoïques,5%
400008,top côtelé à col montant,extérieur,colorants au chrome,95%
400008,top côtelé à col montant,extérieur,colorants azoïques,5%
400009,veste côtelée à bouton,extérieur,colorants au chrome,88%
400009,veste côtelée à bouton,extérieur,colorants azoïques,7%
400009,veste côtelée à bouton,extérieur,colorants acides,5%
400010,veste côtelée à bouton,extérieur,colorants au chrome,88%
400010,veste côtelée à bouton,extérieur,colorants azoïques,7%
400010,veste côtelée à bouton,extérieur,colorants acides,5%
400011,veste côtelée à bouton,extérieur,colorants au chrome,88%
400011,veste côtelée à bouton,extérieur,colorants azoïques,7%
400011,veste côtelée à bouton,extérieur,colorants acides,5%
400012,t-shirt de qualité supérieure,extérieur,colorants au chrome,100%
400013,t-shirt de qualité supérieure,extérieur,colorants au chrome,100%
400014,t-shirt de qualité supérieure,extérieur,colorants au chrome,100%
400015,t-shirt de qualité supérieure,extérieur,colorants au chrome,100%
400016,t-shirt de qualité supérieure,extérieur,colorants au chrome,100%
400017,top à capuche collection contour limitless,extérieur,colorants dispersés,95%
400017,top à capuche collection contour limitless,extérieur,colorants azoïques,5%
400018, collection contour sans  limite,extérieur,colorants dispersés,95%
400018, collection contour sans  limite,extérieur,colorants azoïques,5%
400019,chemise côtelée,extérieur,colorants au chrome,95%
400019,chemise côtelée,extérieur,colorants azoïques,5%
400020,chemise côtelée,extérieur,colorants au chrome,95%
400020,chemise côtelée,extérieur,colorants azoïques,5%
400021,chemise côtelée,extérieur,colorants au chrome,95%
400021,chemise côtelée,extérieur,colorants azoïques,5%
400022,chemise côtelée,extérieur,colorants au chrome,95%
400022,chemise côtelée,extérieur,colorants azoïques,5%
400023,chemise côtelée,extérieur,colorants au chrome,95%
400023,chemise côtelée,extérieur,colorants azoïques,5%
400024,body côtelé,extérieur,colorants acides,49%
400024,body côtelé,extérieur,colorants dispersés,28%
400024,body côtelé,extérieur,colorants acides,23%
400025,body côtelé,extérieur,colorants acides,97%
400025,body côtelé,extérieur,colorants azoïques,3%
400026,body épaulettes,extérieur,colorants au chrome,92%
400026,body épaulettes,extérieur,colorants azoïques,8%
400027,body dos-nu,extérieur,colorants au chrome,92%
400027,body dos-nu,extérieur,colorants azoïques,8%
400028,body décolleté en cœur,extérieur,colorants au chrome,42%
400028,body décolleté en cœur,extérieur,colorants dispersés,39%
400028,body décolleté en cœur,extérieur,colorants dispersés,16%
400028,body décolleté en cœur,extérieur,colorants azoïques,3%
400029,body côtelé à boutons,extérieur,colorants acides,55%
400029,body côtelé à boutons,extérieur,colorants acides,25%
400029,body côtelé à boutons,extérieur,colorants dispersés,20%
400030,body en dentelle,extérieur,colorants acides,92%
400030,body en dentelle,extérieur,colorants azoïques,8%
400031,body en dentelle,extérieur,colorants acides,92%
400031,body en dentelle,extérieur,colorants azoïques,8%
400032,body en dentelle,extérieur,colorants acides,92%
400032,body en dentelle,extérieur,colorants azoïques,8%
400033,body côtelé à boutons,extérieur,colorants acides,55%
400033,body côtelé à boutons,extérieur,colorants acides,25%
400033,body côtelé à boutons,extérieur,colorants dispersés,20%
400034,body côtelé à boutons,extérieur,colorants acides,55%
400034,body côtelé à boutons,extérieur,colorants acides,25%
400034,body côtelé à boutons,extérieur,colorants dispersés,20%
400035,chemise à pression,extérieur,colorants au chrome,96%
400035,chemise à pression,extérieur,colorants azoïques,4%
400036,chemise à pression,extérieur,colorants au chrome,96%
400036,chemise à pression,extérieur,colorants azoïques,4%
400037,chemise à pression,extérieur,colorants au chrome,96%
400037,chemise à pression,extérieur,colorants azoïques,4%
400038,chemise à pression,extérieur,colorants au chrome,96%
400038,chemise à pression,extérieur,colorants azoïques,4%
400039,chemise à pression,extérieur,colorants au chrome,96%
400039,chemise à pression,extérieur,colorants azoïques,4%
400040,chemise côtelée volants,extérieur,colorants au chrome,95%
400040,chemise côtelée volants,extérieur,colorants azoïques,5%
400041,chemise côtelée volants,extérieur,colorants au chrome,95%
400041,chemise côtelée volants,extérieur,colorants azoïques,5%
400042,chemise côtelée volants,extérieur,colorants au chrome,95%
400042,chemise côtelée volants,extérieur,colorants azoïques,5%
400043,veste courte,extérieur,colorants acides,49%
400043,veste courte,extérieur,colorants dispersés,29%
400043,veste courte,extérieur,colorants acides,22%
400044,veste courte,extérieur,colorants acides,49%
400044,veste courte,extérieur,colorants dispersés,29%
400044,veste courte,extérieur,colorants acides,22%
400045,corp côtelée soft touch,extérieur,colorants acides,74%
400045,corp côtelée soft touch,extérieur,colorants dispersés,22%
400045,corp côtelée soft touch,extérieur,colorants azoïques,4%
400046,corp côtelée soft touch,extérieur,colorants acides,74%
400046,corp côtelée soft touch,extérieur,colorants dispersés,22%
400046,corp côtelée soft touch,extérieur,colorants azoïques,4%
400047,corp côtelée soft touch,extérieur,colorants acides,74%
400047,corp côtelée soft touch,extérieur,colorants dispersés,22%
400047,corp côtelée soft touch,extérieur,colorants azoïques,4%
400048,coco capitan collaboration t-shirt unisexe,extérieur,colorants au chrome,100%
400049,coco capitan collaboration t-shirt unisexe,extérieur,colorants au chrome,100%
400050,coco capitan collaboration t-shirt unisexe,extérieur,colorants au chrome,100%
400051,coco capitan collaboration t-shirt unisexe,extérieur,colorants au chrome,100%
400052,coco capitan collaboration t-shirt unisexe,extérieur,colorants au chrome,100%
400053,corps court,extérieur,colorants acides,49%
400053,corps court,extérieur,colorants dispersés,46%
400053,corps court,extérieur,colorants azoïques,5%
400054,corps court,extérieur,colorants acides,49%
400054,corps court,extérieur,colorants dispersés,46%
400054,corps court,extérieur,colorants azoïques,5%
400055,corps court,extérieur,colorants acides,49%
400055,corps court,extérieur,colorants dispersés,46%
400055,corps court,extérieur,colorants azoïques,5%
400056,chemise rayée,extérieur,colorants au chrome,100%
400057,body côtelé,extérieur,colorants au chrome,95%
400057,body côtelé,extérieur,colorants azoïques,5%
400058,body côtelé,extérieur,colorants au chrome,95%
400058,body côtelé,extérieur,colorants azoïques,5%
400059,body côtelé,extérieur,colorants au chrome,95%
400059,body côtelé,extérieur,colorants azoïques,5%
500000,pantalon taille haute avec ceinture,extérieur,colorants dispersés,76%
500000,pantalon taille haute avec ceinture,extérieur,colorants acides,17%
500000,pantalon taille haute avec ceinture,extérieur,colorants azoïques,7%
500001,pantalon culotte,extérieur,colorants dispersés,100%
500003,pantalon large plein longueur,extérieur,colorants dispersés,64%
500003,pantalon large plein longueur,extérieur,colorants acides,31%
500003,pantalon large plein longueur,extérieur,colorants azoïques,5%
500004,jogging en maille,extérieur,colorants acides,46%
500004,jogging en maille,extérieur,colorants dispersés,28%
500004,jogging en maille,extérieur,colorants dispersés,26%
500005,jogging en maille,extérieur,colorants acides,46%
500005,jogging en maille,extérieur,colorants dispersés,28%
500005,jogging en maille,extérieur,colorants dispersés,26%
500006,pantalon large plein longueur,extérieur,colorants dispersés,64%
500006,pantalon large plein longueur,extérieur,colorants acides,31%
500006,pantalon large plein longueur,extérieur,colorants azoïques,5%
500007,pantalon effet cuir,doublure,colorants dispersés,100%
500010,jogging en maille,extérieur,colorants acides,46%
500010,jogging en maille,extérieur,colorants dispersés,28%
500010,jogging en maille,extérieur,colorants dispersés,26%
500011,pantalon de course,extérieur,colorants réactifs,55%
500011,pantalon de course,extérieur,colorants au chrome,42%
500011,pantalon de course,extérieur,colorants azoïques,3%
500011,pantalon de course,doublure,colorants au chrome,100%
500012,pantalon culotte avec ceinture,extérieur,colorants dispersés,74%
500012,pantalon culotte avec ceinture,extérieur,colorants acides,20%
500012,pantalon culotte avec ceinture,extérieur,colorants azoïques,6%
500013,leggings de vie super élastique,extérieur,colorants dispersés,77%
500013,leggings de vie super élastique,extérieur,colorants azoïques,23%
500013,leggings de vie super élastique,doublure,colorants dispersés,77%
500013,leggings de vie super élastique,doublure,colorants azoïques,23%
500014,pantalon de course,extérieur,colorants réactifs,55%
500014,pantalon de course,extérieur,colorants au chrome,42%
500014,pantalon de course,extérieur,colorants azoïques,3%
500015,pantalon de jogger ample,extérieur,colorants réactifs,65%
500015,pantalon de jogger ample,extérieur,colorants au chrome,24%
500015,pantalon de jogger ample,extérieur,colorants réactifs,11%
500016,pantalon taille haute,extérieur,colorants dispersés,100%
500021,pantalon coupe chino double tissu,extérieur,colorants au chrome,51%
500021,pantalon coupe chino double tissu,extérieur,colorants dispersés,46%
500021,pantalon coupe chino double tissu,extérieur,colorants azoïques,3%
500022,pantalon de course,extérieur,colorants réactifs,100%
500022,pantalon de course,doublure,colorants au chrome,100%
500023,pantalon de course,extérieur,colorants dispersés,100%
500024,pantalon culotte avec ceinture,extérieur,colorants dispersés,62%
500024,pantalon culotte avec ceinture,extérieur,colorants acides,36%
500024,pantalon culotte avec ceinture,extérieur,colorants azoïques,2%
500025,pantalon de costume texturé,extérieur,colorants dispersés,67%
500025,pantalon de costume texturé,extérieur,colorants acides,29%
500025,pantalon de costume texturé,extérieur,colorants azoïques,4%
500026,pantalon de costume à carreaux,extérieur,colorants dispersés,67%
500026,pantalon de costume à carreaux,extérieur,colorants acides,31%
500026,pantalon de costume à carreaux,extérieur,colorants azoïques,2%
500027,pantalon avec ceinture en raphia,extérieur,colorants dispersés,100%
500028,pantalon de jogging zw,extérieur,colorants réactifs,55%
500028,pantalon de jogging zw,extérieur,colorants au chrome,42%
500028,pantalon de jogging zw,extérieur,colorants azoïques,3%
500028,pantalon de jogging zw,doublure,colorants au chrome,100%
500029,pantalon taille haute avec ceinture,extérieur,colorants dispersés,76%
500029,pantalon taille haute avec ceinture,extérieur,colorants acides,17%
500029,pantalon taille haute avec ceinture,extérieur,colorants azoïques,7%
500030,pantalon taille haute avec ceinture,extérieur,colorants dispersés,76%
500030,pantalon taille haute avec ceinture,extérieur,colorants acides,17%
500030,pantalon taille haute avec ceinture,extérieur,colorants azoïques,7%
500031,pantalon taille haute avec ceinture,extérieur,colorants dispersés,76%
500031,pantalon taille haute avec ceinture,extérieur,colorants acides,17%
500031,pantalon taille haute avec ceinture,extérieur,colorants azoïques,7%
500032,pantalon skinny à carreaux,extérieur,colorants acides,75%
500032,pantalon skinny à carreaux,extérieur,colorants dispersés,22%
500032,pantalon skinny à carreaux,extérieur,colorants azoïques,3%
500033,pantalon moulants,extérieur,colorants au chrome,35%
500033,pantalon moulants,extérieur,colorants dispersés,31%
500033,pantalon moulants,extérieur,colorants acides,17%
500033,pantalon moulants,extérieur,colorants réactifs,15%
500033,pantalon moulants,extérieur,colorants azoïques,2%
500034,pantalon avec ceinture en raphia,extérieur,colorants dispersés,100%
500035,pantalon imprimé,extérieur,colorants acides,100%
500036,pantalon de jardin,extérieur,colorants au chrome,97%
500036,pantalon de jardin,extérieur,colorants azoïques,3%
500037,pantalon large à plis,extérieur,colorants dispersés,67%
500037,pantalon large à plis,extérieur,colorants acides,29%
500037,pantalon large à plis,extérieur,colorants azoïques,4%
